fixed 5% (baseline),fixed 8%,adaptive k=4,adaptive ramp-only,adaptive ease-only
165.1863962323188,135.3033566685476,184.89609339556185,164.42639162757516,186.69448023170239
145.3219553221516,92.09052434143555,154.0002732286129,143.39159401315655,157.52923407735992
131.95401578651334,117.56359319556313,150.30480699772133,132.05766482697447,150.10258042452705
92.98317739254618,100.47131620088257,154.2158976731198,95.4738819118899,149.48340864422227
171.22569037038807,108.01363825856347,188.86568854710808,169.131408037955,190.5936199183496
171.72986906046202,122.72328409657291,182.55424573972306,168.38970944419208,185.50418127991944
212.92084482073722,193.72441031145792,217.9145625533473,210.4398384988557,222.72089385438758
128.91313926071987,98.54545677310675,146.07371732135087,126.72519214163425,147.32265308533454
229.72024712930116,176.01269089030717,235.49471200188137,226.4706205233865,236.80356354343627
263.607205429739,175.4038053811444,270.2731123544425,263.4021263568238,270.0909679272089
120.58738434124093,116.60343802324275,137.31403471923204,119.16902040759793,131.28883261986485
111.55897192021773,114.88511666599419,143.37742098662778,115.9610364304251,141.30875375658036
146.38202520849492,116.9941437803392,158.98118584125896,140.65698722171513,164.910610016182
126.82183851124032,88.05603903877407,140.7949054609401,127.44446652247248,140.6151247860497
102.39357420696312,122.48270090126583,159.65825307659068,127.47482282929894,155.02885836460416
160.63055720937817,129.61328152532585,205.3533823157112,164.76248878827184,206.89947924651935
151.47347477512494,161.68258410199465,172.51024453946815,154.70504338714184,169.69504161654214
96.85414816191819,73.02593988914998,128.62515794252548,101.36445249268316,126.52771302225214
145.78193293579062,133.80733048086876,174.72435188510775,150.9079842939016,173.84275128592174
203.06885104005158,178.7704196270797,219.08622940395423,189.74751379577862,215.66032928675187
186.27181347802846,174.40676784304273,214.82756548476306,183.623584963017,219.30088096475336
212.07496989136,139.81779911791187,255.01029099652402,207.63189610804054,261.36573070806435
157.9686147035271,122.73787243003652,181.8331369521027,166.2715009134415,180.1881367723913
162.22522432946803,158.66613718723622,182.1459952039235,164.95271153244832,180.48057410090638
171.6752290783303,160.19727332430324,210.91940048459713,193.89523814445596,190.1564276124768
254.32057742196167,205.67653925955966,270.8612600438134,244.23415674593556,275.6174781612975
323.2903481024515,232.4693004437831,370.85533486221345,324.15450766906434,375.6136821065269
149.02303244697515,127.94141910497679,151.72810153859274,149.57904598016836,151.48991126198322
152.75693270047623,126.81630553056999,192.24913200718925,152.84699969119666,191.9268536387926
140.18826851383005,125.4044887755219,158.1297607681566,141.23951180721008,157.26409384524396
131.47064815599558,132.9208821595888,139.96916535953693,131.04199178283875,141.12501351430714
119.05486594004198,108.4583524408869,143.84445714101216,133.44694970751854,134.6710434744662
118.75406699948071,107.94191237555663,148.3390251626332,120.07659979092885,147.3337234422134
215.9264769840247,195.36635331720854,246.37610499785387,226.3225317683007,238.14029256179623
211.4018349863645,184.5974261021438,238.89927899834964,213.06577495164768,238.56938400543052
160.90115553492595,104.08709962160445,160.293546269407,158.55970947030755,161.57599468449743
161.5093063435927,91.86451679115407,183.26439638434286,154.6865914969778,179.99256182387623
163.9392928205807,148.61975456437196,159.64939702721622,163.99085685272487,161.90686840445247
163.92332311034403,140.81989532684787,179.0605214244637,164.44047459145253,176.9200349973114
172.3516710774699,162.0277982905843,179.68310850152707,171.24967635839238,181.1269935208975
138.9167457531227,106.68997028407497,154.71006155303348,138.84821036151658,156.30373085210988
152.73100246626348,126.96401180155102,156.37640140308164,143.96923626953043,165.9333386019207
192.28549511385404,178.2321826171282,199.34353496187146,186.79104215811387,193.62717140836088
192.47933615624598,167.0149365892846,217.4993921237273,194.05777968865792,217.79922983292394
186.03997751300554,138.62514189826476,217.22250675052194,182.66752717882798,222.41456839529337
161.58595834691332,145.32901749149363,163.72700408341768,160.61850170849775,163.87699948488148
130.80451692917143,121.27581794716154,154.12529899444897,130.06440856020345,166.88539862959215
105.5636834048295,86.20828360887894,116.01887694157104,104.07573466122855,117.0854863113601
102.43786225638266,85.03556188369093,132.22064012800902,102.73721928188678,134.27142070466937
162.61446707560356,159.3711665493487,182.29673901186118,166.11095450986858,179.96924287257374
114.90037921587168,87.00203784931527,120.86637418219904,113.1226912999948,122.55961875598416
212.99987682894252,231.34005493692987,254.28578363270455,245.5301397650389,217.80488304323276
230.4322784287822,149.13487354079956,250.96480251810365,224.18923866137308,250.32781534443876
180.82087246750814,146.451792587456,217.38410221107281,180.80050440957993,208.61871763014815
202.47450874326913,143.73510408645265,219.6394767610706,198.4379459065495,223.052423815381
195.96377646792996,144.13299048881262,206.40100021665788,193.93243496538915,207.14904334849794
167.97092434149505,137.13099021629296,184.7619244787974,173.82304330291316,180.31133632181093
141.32029136706643,100.71425159609973,149.86865545485068,141.57821154940376,151.10637021049598
153.28458249146058,93.43028048401567,171.64836844492,149.83175469566606,171.88377430044534
294.8283238289171,182.97786270534425,308.85806648500096,291.5497069854627,317.4828578895825
150.45056231651705,125.69371627360447,161.06270271376806,151.6454393348801,160.23355744837454
187.2707997460867,181.47124588302572,205.2182465863033,189.4168153552843,201.50235345257107
180.2252669718331,147.94521531725812,179.5555590023042,175.46881035691243,183.3176126732745
212.76684947897772,162.7667573560615,213.67685733241993,209.19489730779614,217.29225499819063
232.11777124453914,184.98874895185983,243.25658819240817,225.11283133347007,244.82935610340147
189.51701844356512,144.94233173655363,206.32973129786347,188.50616387630893,205.1129744804872
101.68064360142877,90.86963908599411,117.02685308525619,103.54253459976405,116.48055765711344
267.8681764013883,241.59615224796,307.5173035551831,271.70527880172943,307.4439115480686
185.51275873322848,139.19797955740947,191.23280370673194,182.34445507426267,191.0115900175866
175.21544381813183,126.61587159270458,191.59060789421534,172.8581447721689,190.61741438780422
